Time,Pressure-DV01 Monitor: Pressure-DV01 Monitor (Pa),Pressure-TS01 Monitor: Pressure-TS01 Monitor (Pa),Pressure-TS02 Monitor: Pressure-TS02 Monitor (Pa),Pressure-TS03 Monitor: Pressure-TS03 Monitor (Pa),Pressure-TS04 Monitor: Pressure-TS04 Monitor (Pa)
0.00029865,1739989.34388892,353689.315094465,128199.677913105,44099.3644869828,427030.84382292
0.00030075,1736351.20417167,361247.660557203,124151.904725872,46263.6513727108,427787.46251598
0.00030285,1739263.57434692,377049.570269826,128562.466138641,48042.3467152352,428652.735934498
0.00030495,1738856.35878412,373287.776672748,136985.607641996,47757.6862927884,429683.45673478
0.00030705,1733324.38924147,368400.568207326,129733.015375244,46338.4277789773,430846.907289085
0.00030915,1729947.30742381,386730.76091224,128227.056729868,45665.5790417328,432031.74423265
0.0003113,1727911.95807341,391792.109720713,134194.195351741,46494.0281209803,433247.560284848
0.0003134,1726170.69257892,382908.651339573,135584.657973902,48086.9793572509,434367.674063448
0.0003155,1726514.92735165,382930.14942794,141467.408295404,48793.8335096305,435367.775611765
0.0003176,1724804.08301889,386220.752925476,152943.487610404,47857.7757346692,436036.458063551
0.0003197,1727904.70928967,384464.379776177,153592.500284648,45692.4481876452,436681.277925618
0.0003218,1730416.88970349,383165.660639882,147955.580928466,71930.3734766483,437411.509316852
0.0003239,1719727.920039,384762.732223292,174476.164242946,150794.251580816,438195.231215598
0.000326,1708618.45620807,379719.710787258,195105.179807946,885822.28798283,438885.192323369
0.0003281,1698089.67416847,372347.431482051,178300.30590796,356487.196959326,439509.835628851
0.0003302,1689493.98038829,375961.185363994,195447.604779985,257937.298733911,439838.271127637
0.0003323,1682133.90411284,386097.134025452,200701.418150213,200634.407697026,439917.177493716
0.0003344,1674187.40389861,389624.003131774,184531.331474777,162600.789430877,440050.325405049
0.0003365,1665837.81021791,388838.669164762,204078.439408947,127382.803159714,440161.166780154
0.0003386,1658272.09173879,388232.519326853,228119.890998231,81171.5011615781,440273.242582103
0.0003407,1651185.68664295,389813.894507293,201700.221437395,49175.3334243422,440218.00639924
0.0003428,1644146.51987713,397875.123188382,198582.727329812,215457.005034702,439852.058255613
0.00034495,1639005.48532949,408259.66415087,229924.225892758,828873.008657459,439188.685581892
0.00034705,1629642.59690418,411024.970023638,217575.773568387,608933.534855328,438742.405958197
0.00034915,1622091.61377224,408549.53264494,197293.466902636,456509.387478572,438757.810493245
0.00035125,1616764.79072228,410350.067023873,217066.366746082,405705.815173878,438807.051704314
0.00035335,1612112.0949317,421677.499227751,235868.251466393,354342.58256734,439108.827956985
0.00035545,1607212.69569676,434143.638708509,218683.340115999,234620.587397024,439612.723498549
0.00035755,1602230.94297837,434656.970170576,220213.592710821,146538.658005986,439508.972587708
0.00035965,1597410.42646805,427282.923060495,236469.748518188,101985.670723141,438936.030865185
0.00036175,1594247.47419788,424920.328244039,230845.325684527,135684.137134638,438708.297797972
0.00036385,1589764.9236201,429966.068031219,222328.361697462,485454.621865319,438467.499303175
0.00036595,1585900.54256225,436554.126649632,226799.434694311,680199.153608758,437704.018149795
0.00036805,1583621.93498753,441208.124682447,234932.343852275,616977.251577254,437460.527153546
0.00037015,1581254.34977756,445570.623028448,236804.935926484,582587.53210405,530684.721470073
0.00037225,1576619.54455219,448940.901293793,234459.92632839,509103.197950614,533139.706552385
0.00037435,1575396.17852941,450209.825741611,235806.668312344,340391.784177128,531040.280309524
0.00037645,1574637.19974633,449983.251936518,243153.797454194,219492.883410151,530930.801730045
0.00037855,1573577.24489445,452107.382122524,248440.673635257,175537.467460192,528638.77570759
0.0003807,1572495.68667028,458283.983998686,247893.73922294,228039.379126924,526667.331446094
0.0003828,1569975.42694713,463215.749190019,249309.609280359,504838.841065079,634480.544196621
0.0003849,1569075.80369502,463478.588260278,257148.186641816,674753.714018102,649213.033151184
0.000387,1570821.53075543,460235.599038234,264666.596743804,720310.993449466,658915.865886982
0.0003891,1571372.2556942,457621.732204525,265164.809993776,620658.140982058,675153.869995264
0.0003912,1570980.94319562,456986.288297604,265924.273642029,455235.692895061,690465.357645437
0.0003933,1570419.61328881,457307.095152718,267738.239919387,360721.31359452,700389.139790297
0.0003954,1570406.17079469,459134.428888286,267103.428645141,323610.995186257,709180.973546039
0.0003975,1570776.90436858,460908.078498684,265224.55611129,304980.527558705,717594.942307636
0.0003996,1571303.29585892,462107.47438145,264584.86776462,320794.572782372,725640.910466786
0.0004017,1573957.76429688,462873.379977601,266769.242243653,368797.531512095,739254.268511135
0.0004038,1574945.75756914,464377.014297023,267235.198597091,497020.576835104,753433.32937524
0.0004059,1577067.98196106,468363.206414929,262351.088286225,716971.124728428,761986.512219911
0.000408,1578023.61831015,472349.085377968,262492.129796165,861916.402048493,768405.234435522
0.0004101,1578178.32365929,476907.14660456,270301.683775863,922525.430906677,773731.937093778
0.0004122,1579049.46660911,482749.529489686,272141.252298728,917299.717708198,778222.021395671
0.00041435,1580774.43376391,487155.012164949,267632.637069792,819851.714707639,782198.043949186
0.00041645,1581930.26282561,491206.011006231,267086.81455408,726569.152134422,785553.068354373
0.00041855,1583056.7267148,495637.902762193,270049.757555708,623066.897563743,798484.926651569
0.00042065,1584296.64837684,497029.122905274,277426.685975011,532267.81013766,822834.015421235
0.00042275,1585907.35316174,497138.760037787,286707.536547018,484544.810539552,824379.572299133
0.00042485,1587144.59786421,499300.761822725,287290.330805037,447655.418351158,826476.547230029
0.00042695,1588687.34654516,498310.404878935,283722.496846679,418024.225940169,827140.08307619
0.00042905,1591785.50601839,496760.592777559,288497.696573732,404716.664457247,827613.799992984
0.00043115,1584214.08165003,496533.192527659,296204.817029847,393085.277103764,840232.109564571
0.00043325,1626731.06509741,495280.914903607,297401.385126056,394961.921900802,866864.359650194
0.00043535,1632734.4228087,494021.183593761,300893.702392642,429790.649292952,874500.092632459
0.00043745,1628706.02570058,495978.748094442,308161.991668447,481635.185744859,893049.072211142
0.00043955,1627258.66781916,498405.015845962,310368.540501887,559277.878892905,910883.775271214
0.00044165,1627717.58982131,501412.422142265,309127.286177252,712114.30693024,952481.908748038
0.00044375,1625574.76785911,507060.437035107,308409.709947598,827339.295196708,998970.082834196
0.00044585,1623869.75271147,512651.121356054,309928.263626185,858194.61616005,1007550.32026479
0.000448,1623375.13845001,517281.482429515,315243.458802286,891389.917100411,1016233.15706561
0.0004501,1623460.85729606,523397.529091026,320793.346991307,833305.022833119,1036099.94460952
0.0004522,1623952.3332594,530662.8894101,323286.747730538,734818.64875426,1058551.69941056
0.0004543,1621245.69721723,535602.169589355,324325.383027543,671978.325152434,1155796.05221293
0.0004564,1619258.790426,536684.781332333,325061.440031747,611237.536806853,1202429.22957244
0.0004585,1617032.93671193,536003.092772899,325742.174863805,550583.845016782,1220092.06569931
0.0004606,1616724.21092922,535497.354973389,329205.581567277,517119.591561949,1229866.48525472
0.0004627,1616365.0169873,534536.822993085,334118.52806481,505537.85808633,1236910.98219066
0.0004648,1615444.72729522,533514.126072007,336044.2484652,489599.606152891,1247917.83740493
0.0004669,1614608.72749365,534235.086343799,335557.841350148,482158.704472039,1275242.14960066
0.000469,1611595.11309388,536200.592081501,335113.390135983,510900.953247183,1293854.69237733
0.0004711,1611144.68496409,538004.273779771,335493.040881354,582635.866369351,1308389.47469538
0.0004732,1611638.03016559,540246.854382984,335843.257584281,785599.753963041,1328832.08539782
0.0004753,1612036.15408794,543705.285557865,335648.354850149,1411780.13882542,1341908.35778751
0.0004774,1611959.77022064,546161.535822192,335449.407454948,1106328.99832054,1346563.97171778
0.0004795,1611160.80909288,548194.743119362,336340.731580401,752143.768734413,1348788.01674851
0.0004816,1608713.13233646,550425.937351421,338657.353542658,582000.073159904,1352400.00567512
0.00048375,1607688.07446664,551766.972097318,340893.828296457,620548.492433288,1364809.24231
0.00048585,1602890.41851138,551777.762917428,341777.83546183,979960.207893982,1387400.73325984
0.00048795,1601291.03381321,551746.261560276,342570.792009255,1289990.22572396,1403178.10458461
0.00049005,1603518.77933312,551667.280468266,344418.898325898,942101.601358347,1412725.20121086
0.00049215,1603130.81652584,550792.223318541,348292.117174297,706926.099459368,1417644.59239004
0.00049425,1601084.28266871,549769.049158593,354829.555767205,695912.436199407,1421289.51384586
0.00049635,1599238.33756989,549685.432813575,360343.270387483,928600.038506001,1427487.01223408
0.00049845,1596945.17259625,550554.013684298,361725.38199563,1140685.52700877,1439506.50402644
0.00050055,1595013.78074808,551479.38261653,362778.090813077,966140.211508079,1455640.13957905
0.00050265,1592364.72575326,551834.241420528,366843.664821154,823325.944280496,1468096.53708234
0.00050475,1590370.41164719,551994.910851482,370869.31349882,835197.035514426,1476160.86950284
0.00050685,1590496.13300278,552942.40747554,371326.573611336,984626.505955927,1484128.22044867
0.00050895,1589681.13783053,555343.431342621,370426.17110476,1071381.38290468,1497605.72182251
0.00051105,1586796.58287425,559007.456568484,371037.749017012,954000.425205039,1520653.49222799
0.00051315,1583773.28401259,563184.779833809,372303.709897457,914493.673055179,1546546.57544082
0.00051525,1581357.99304446,568146.702421834,372015.321444879,1027935.42242015,1561091.60269517
0.0005174,1581321.04575466,573974.282132746,370717.028370184,1143052.32287761,1567976.14345091
0.0005195,1580412.42240349,579344.842888722,370507.158758561,1051355.69918015,1573490.757694
0.0005216,1578693.72371064,583982.859539791,371780.080314066,949733.366468586,1582513.99753796
0.0005237,1577480.34002542,587117.585240523,374082.036798424,994823.748464478,1598493.79183814
0.0005258,1575263.30491003,588953.338225007,377025.97411495,1114776.53365661,1613215.88093886
0.0005279,1573713.10997379,590479.68986928,380506.980389954,1087280.8859783,1619495.20477456
0.00053,1571014.91598374,590613.80757851,384900.659670015,1023178.86909191,1621631.29529865
0.0005321,1568111.69886292,589454.103243005,390202.86284392,1198841.30700438,1622386.29338512
0.0005342,1566344.18414859,588905.361910272,395997.048512133,1592245.92889382,1622520.64870463
0.0005363,1564998.36177538,588677.422109291,401854.16798765,1266341.51320281,1622308.42622443
0.0005384,1563413.81654847,588029.068432291,406214.652273846,1200117.33825665,1621860.78807427
0.0005405,1561927.39083327,588014.228795452,408377.832390403,1552248.34302298,1621595.0172862
0.0005426,1560560.71047581,588408.63147926,409128.180822294,1433576.87219382,1621748.50675902
0.0005447,1560401.34181001,589054.985785418,408900.646941071,1263639.36876137,1622364.92942426
0.0005468,1560499.25834268,591757.522016137,408402.285377945,1488613.10839728,1623294.35998681
0.0005489,1560050.03896148,596484.382188474,408678.729078358,1461736.79627216,1624960.61607482
0.000551,1558099.40938485,601190.163106119,409513.531005274,1317082.5281793,1627996.57831889
0.00055315,1554227.46052399,604984.338881666,410582.841995991,1497523.64369358,1633591.34280685
0.00055525,1551952.16427147,607981.846474473,412195.826264563,1457406.04011431,1641129.7911233
0.00055735,1551099.00692596,610276.242883272,414006.24604394,1449609.61565882,1649524.25832289
0.00055945,1550064.28691245,611985.382659518,416366.363284677,1508518.97062765,1657020.54259783
0.00056155,1549245.98779683,613428.998101255,419729.671779227,1452862.46349342,1663663.49427338
0.00056365,1548368.58269834,614154.280892367,422680.762866443,1495157.42332636,1672070.11825229
